Barcode,Owning Campus,Material Type,...4,Campus...5,Items added,...7,Num of Items (In Repository),Campus...9,Barcode_Prefix
A0000542381,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000543199,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000547372,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0000549402,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000551531,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0000559377,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000560235,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000562066,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000564575,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000564641,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000568642,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0000568758,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000574913,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0000576983,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000577635,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0000580639,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000580886,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000580902,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0000581140,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000581165,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000581744,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000582213,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000587212,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000589853,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000611673,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000621185,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000623967,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000626184,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000653238,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000712935,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000713560,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000736793,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0000745588,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000765941,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000784090,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000786806,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000830968,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000844662,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000847715,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000851402,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000858662,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000859223,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000861757,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000861856,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000865048,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0000869180,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000870626,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0000874222,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000874933,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000877282,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000883272,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000883991,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000885582,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000887265,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0000891549,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000891747,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000893644,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000893719,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000894253,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000903088,UCR Library,Book,NA,NA,NA,NA,NA,NA,A
A0000917286,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000920447,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000920561,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0000924498,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000930081,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000939637,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0000940833,UCSB Library,Book,NA,NA,NA,NA,NA,NA,A
A0000961516,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000962704,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000962993,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000963413,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000964080,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000965517,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000966028,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000971143,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000972927,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000973057,UCLA,Book,NA,NA,NA,NA,NA,NA,A
A0000974659,UCLA,Book,NA,NA,NA,NA,NA,NA,A
