Barcode,Owning Campus,Material Type,...4,Campus...5,Items added,...7,Num of Items (In Repository),Campus...9,Barcode_Prefix
AX0010731768,UCSD Library,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010731776,UCSD Library,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010731784,UCSD Library,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010731792,UCSD Library,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010731800,UCSD Library,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010731818,UCSD Library,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010731826,UCSD Library,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010731834,UCSD Library,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010731842,UCSD Library,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010731859,UCSD Library,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010731867,UCSD Library,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010731875,UCSD Library,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010731883,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010731891,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010731909,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010731917,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010731925,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010731933,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010731941,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010731958,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010731966,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010731974,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010731982,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010731990,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732006,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732014,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732022,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732030,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732048,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732055,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732063,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732071,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732089,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732097,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732105,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732113,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732121,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732139,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732147,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732154,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732162,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732170,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732188,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732196,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732204,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732212,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732220,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732238,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732246,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732253,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732261,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732279,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732287,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732295,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732303,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732311,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732329,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732337,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732345,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732352,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732360,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732378,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732386,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732394,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732402,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732410,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732428,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732436,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732444,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732451,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732469,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732477,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732485,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732493,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732501,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732519,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732527,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732535,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732543,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732550,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732568,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732576,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732584,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732592,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732600,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732618,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732626,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732634,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732642,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732659,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732667,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732675,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732683,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732691,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732709,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732717,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732725,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732733,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732741,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732758,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732766,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732774,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732782,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732790,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732808,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732816,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732824,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732832,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732840,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732857,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732865,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732873,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732881,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732899,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732907,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732915,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732923,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732931,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732949,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732956,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732964,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732972,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732980,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010732998,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733004,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733012,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733020,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733038,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733046,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733053,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733061,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733079,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733087,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733095,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733103,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733111,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733129,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733137,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733145,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733152,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733160,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733178,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733186,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733194,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733202,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733210,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733228,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733236,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733244,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733251,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733269,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733277,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733285,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733293,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733301,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733319,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733327,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733335,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733343,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733350,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733368,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733376,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733384,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733392,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733400,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733418,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733426,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733434,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733442,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733459,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733467,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733475,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733483,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733491,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733509,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733517,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733525,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733533,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733541,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733558,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733566,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733574,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733582,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733590,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733608,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733616,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733624,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733632,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733640,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733657,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733665,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733673,UCLA,Issue,NA,NA,NA,NA,NA,NA,AX
AX0010733681,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733699,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733707,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733715,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733723,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733731,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733749,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733756,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733764,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733772,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733780,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733798,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733806,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733814,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733822,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733830,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733848,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733855,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733863,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733871,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733889,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733897,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733905,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733913,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733921,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733939,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733947,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733954,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733962,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733970,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733988,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010733996,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734002,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734010,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734028,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734036,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734044,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734051,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734069,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734077,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734085,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734093,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734101,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734119,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734127,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734135,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734143,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734150,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734168,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734176,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734184,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734192,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734200,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734218,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734226,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734234,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734242,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734259,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734267,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734275,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734283,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734291,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734309,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734317,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734325,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734333,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734341,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734358,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734366,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734374,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734382,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734390,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734408,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734416,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734424,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734432,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734440,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734457,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734465,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734473,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734481,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734499,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734507,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734515,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734523,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734531,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734549,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734556,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734564,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734572,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734580,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734598,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734606,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734614,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734622,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734630,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734648,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734655,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734663,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734671,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734689,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734697,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734705,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734713,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734721,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734739,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734747,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734754,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734762,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734770,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734788,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734796,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734804,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734812,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734820,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734838,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734846,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734853,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734861,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734879,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734887,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734895,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734903,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734911,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734929,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734937,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734945,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734952,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734960,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734978,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734986,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010734994,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735009,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735017,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735025,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735033,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735041,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735058,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735066,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735074,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735082,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735090,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735108,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735116,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735124,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735132,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735140,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735157,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735165,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735173,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735181,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735199,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735207,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735215,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735223,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735231,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735249,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735256,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735264,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735272,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735280,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735298,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735306,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735314,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735322,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735330,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735348,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735355,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735363,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735371,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735389,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735397,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735405,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735413,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735421,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735439,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735447,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735454,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735462,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735470,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735488,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735496,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735504,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735512,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735520,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735538,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735546,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735553,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735561,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735579,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735587,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
AX0010735595,UCLA,Book,NA,NA,NA,NA,NA,NA,AX
